count                       : 5000
runtime                     : 25.3164982
zero_force_time             : 0.003732600000000003
gravity_time                : 0.004049599999999999
particle_contact_time       : 25.25461320000002
wall_contact_time           : 0.0122234
integration_time            : 0.01048750000000001
diagnostics_time            : 0.0305015
contact_time                : 25.26683660000002
candidate_pairs             : 12497500
