threads,runtime,speedup,efficiency
1,20.0777808,1,1
2,15.2329886,1.318046072718783,0.6590230363593917
4,10.0378477,2.000207753700029,0.5000519384250072
8,6.2082975,3.234023627250466,0.4042529534063083
