count                       : 1000
runtime                     : 0.9897104
zero_force_time             : 0.000535699999999999
gravity_time                : 0.0007495999999999986
particle_contact_time       : 0.9713512999999999
wall_contact_time           : 0.001891
integration_time            : 0.001609800000000004
diagnostics_time            : 0.01297640000000001
contact_time                : 0.9732422999999999
candidate_pairs             : 499500
