count                       : 5000
runtime                     : 25.3378275
zero_force_time             : 0.003879299999999998
gravity_time                : 0.004071700000000004
particle_contact_time       : 25.27363809999998
wall_contact_time           : 0.01253250000000001
integration_time            : 0.0109092
diagnostics_time            : 0.03194379999999998
contact_time                : 25.28617059999998
candidate_pairs             : 12497500
