gamma_n,runtime,final_ke,com_z
5,0.1049223,15.44141249175132,0.71251386604186
20,0.1163803,6.241441363540781,0.7120303341005653
50,0.1006472,1.951553979905361,0.71628148355351
100,0.108276,1.738270082229931,0.7131563186854507
