time,kinetic_energy,max_speed,center_of_mass_x,center_of_mass_y,center_of_mass_z,active_contacts,candidate_pairs,max_height
0,0.2138725177230549,0.08334518272738893,1.004325792935427,1.017054374065254,1.442180922040255,0,0,1.984489236761166
0.0001,3.377045550500075,1.629004098517018,1.004325751655663,1.017054391993691,1.442180888758272,298,12497500,1.984491777292538
0.0002,10.56051496782644,2.855233646809043,1.004325710375907,1.017054409922132,1.442180757376276,299,12497500,1.984494219723911
0.0003,19.21569829359416,3.832248373363287,1.004325669096146,1.017054427850566,1.442180527894292,297,12497500,1.984496564055283
0.0004,27.78037798472174,4.614271390161191,1.004325627816384,1.017054445779003,1.4421802003123,297,12497500,1.984498810286656
0.0005,35.31803195123888,5.203583063677916,1.004325586536621,1.017054463707441,1.442179774630317,296,12497500,1.984500958418028
0.0006000000000000001,41.34012174988951,5.627305057927943,1.004325545256859,1.017054481635878,1.442179250848334,295,12497500,1.984606291412651
0.0007,45.66474341445705,5.909715270481064,1.004325503977098,1.017054499564309,1.44217862896634,294,12497500,1.984808742254261
0.0008,48.31104598216936,6.072464293040909,1.004325462697337,1.017054517492755,1.442177908984354,290,12497500,1.98501649108316
0.0009000000000000001,49.41003876631328,6.134784746985292,1.004325421417575,1.017054535421192,1.442177087209122,287,12497500,1.985207665769324
0.001,49.47678602818235,6.133973731435765,1.004325380137813,1.017054553349624,1.44217616370835,39,12497500,1.985380923434453
0.0011,49.45551261793095,6.133162765553074,1.004325343104358,1.017054571278062,1.442175138594636,24,12497500,1.985536518256802
0.0012,49.42051160576789,6.132351849356921,1.00432531019839,1.017054589206497,1.442174011996881,15,12497500,1.985675094801038
0.0013,49.39396161959634,6.13154098286702,1.004325281287266,1.017054607134938,1.442172784052668,14,12497500,1.985797340956207
0.0014,49.31000860730968,6.130730166103095,1.004325256226521,1.017054625063375,1.442171454906665,13,12497500,1.98590398005017
0.0015,49.2495736860384,6.129919399084876,1.004325234861786,1.017054642991811,1.442170024709151,13,12497500,1.985995763452377
0.0016,49.20709073029605,6.129108681832107,1.004325217030522,1.017054660920248,1.442168493614612,12,12497500,1.986073463665402
0.0017,49.15994928287894,6.128531378470688,1.004325202563754,1.017054678848684,1.442166861780498,13,12497500,1.986137867902749
0.0018,49.128001320301,6.129345509213883,1.004325191287613,1.017054696777123,1.442165129366003,13,12497500,1.98618977214779
0.0019,49.10734094200907,6.130159688822386,1.004325183024796,1.017054714705556,1.442163296530991,10,12497500,1.986229975686314
0.002,49.09509381062999,6.130973917276727,1.004325177595907,1.017054732633996,1.442161363434977,10,12497500,1.986259276103036
