count,threads,serial_ke,parallel_ke,ke_abs_diff,serial_max_speed,parallel_max_speed,max_speed_abs_diff,serial_com_z,parallel_com_z,com_z_abs_diff,serial_contacts,parallel_contacts
1000,8,15.93204931219609,15.93204931219609,0,5.411355762603269,5.411355762603269,0,0.7204110295279831,0.7204110295279831,0,5,5
5000,8,246.6794753299831,246.6794753299831,0,7.146368042695354,7.146368042695354,0,0.7183870595853137,0.7183870595853137,0,391,391
1000,8,15.93204931219609,15.93204931219609,0,5.411355762603269,5.411355762603269,0,0.7204110295279831,0.7204110295279831,0,5,5
5000,8,246.6794753299831,246.6794753299831,0,7.146368042695354,7.146368042695354,0,0.7183870595853137,0.7183870595853137,0,391,391
1000,8,15.93204931219609,15.93204931219609,0,5.411355762603269,5.411355762603269,0,0.7204110295279831,0.7204110295279831,0,5,5
5000,8,246.6794753299831,246.6794753299831,0,7.146368042695354,7.146368042695354,0,0.7183870595853137,0.7183870595853137,0,391,391
1000,8,15.949030935129,15.949030935129,0,5.411769659523451,5.411769659523451,0,0.720431430189538,0.720431430189538,0,4,4
5000,8,247.4741627168929,247.4741627168929,0,7.145812305198116,7.145812305198116,0,0.7184107099841827,0.7184107099841827,0,390,390
