count                       : 1000
runtime                     : 0.9913626
zero_force_time             : 0.0005096999999999981
gravity_time                : 0.0007407999999999987
particle_contact_time       : 0.9750054000000005
wall_contact_time           : 0.001634499999999999
integration_time            : 0.001728300000000003
diagnostics_time            : 0.01125009999999999
contact_time                : 0.9766399000000004
candidate_pairs             : 499500
