count                       : 1000
runtime                     : 1.1040093
zero_force_time             : 0.0005996999999999996
gravity_time                : 0.0007995999999999983
particle_contact_time       : 1.0863385
wall_contact_time           : 0.0018336
integration_time            : 0.001689200000000004
diagnostics_time            : 0.0123129
contact_time                : 1.0881721
candidate_pairs             : 499500
