threads,runtime,speedup,efficiency
1,0.6914299,1,1
2,0.4987851,1.386228056932735,0.6931140284663676
4,0.3392295,2.038236356213124,0.5095590890532811
8,0.3412662,2.026072022368462,0.2532590027960577
