count                       : 200
runtime                     : 0.0453517
zero_force_time             : 8.769999999999987e-05
gravity_time                : 0.0001204999999999995
particle_contact_time       : 0.03666719999999997
wall_contact_time           : 0.0002712999999999995
integration_time            : 0.0003167000000000014
diagnostics_time            : 0.007416300000000011
contact_time                : 0.03693849999999997
candidate_pairs             : 19900
