id,x,y,z,vx,vy,vz,radius,mass
0,0.7875703319214516,0.1884933651707115,0.8673025649333568,-0.1341022687437345,-0.1834952412194415,-0.1797028528775085,0.012,0.01737175073729012
1,0.5945257577021352,0.447132771367271,0.5007086197525862,0,0,-0.245250000000001,0.012,0.01737175073729012
2,0.4602269145456817,0.3376996048422036,0.5237844586558947,0,0,-0.245250000000001,0.012,0.01737175073729012
3,0.6472671500637845,0.0670576986270236,0.8353574516453184,0,0,-0.245250000000001,0.012,0.01737175073729012
4,0.9336553040061749,0.01204843260748723,0.9832457955203265,0.226024410172237,0.008368855544230192,-0.1442889633383192,0.012,0.01737175073729012
5,0.6146619512259501,0.6089734865708604,0.4507237865498876,0,0,-0.245250000000001,0.012,0.01737175073729012
6,0.03450893027465286,0.5241800699374265,0.6620473185581874,0,0,-0.245250000000001,0.012,0.01737175073729012
7,0.05754569224830391,0.9623853899271072,0.572153093622959,0,0,-0.245250000000001,0.012,0.01737175073729012
8,0.1004318810880939,0.6155447504255761,0.6526866631433733,0,0,-0.245250000000001,0.012,0.01737175073729012
9,0.981735814483275,0.4728973867146035,0.9151197087223253,0.4057327121200337,0.2143350514310572,-0.02236605454581045,0.012,0.01737175073729012
10,0.6759801579231778,0.4516872713059261,0.4540586599381013,0,0,-0.245250000000001,0.012,0.01737175073729012
11,0.9315889121960178,0.5617692979123575,0.6542761928782914,0,0,-0.245250000000001,0.012,0.01737175073729012
12,0.02758306720696926,0.2373523690810725,0.5765938149254884,0,0,-0.245250000000001,0.012,0.01737175073729012
13,0.6788651997217883,0.6073567369224293,0.8951809758150804,0,0,-0.245250000000001,0.012,0.01737175073729012
14,0.1812038956735197,0.3936751549522152,0.5449651272361995,0,0,-0.245250000000001,0.012,0.01737175073729012
15,0.7492327350356202,0.4269521363825142,0.5587947276273111,0,0,-0.245250000000001,0.012,0.01737175073729012
16,0.5660755194140573,0.04256177279083476,0.9000713203759791,0,0,-0.245250000000001,0.012,0.01737175073729012
