threads,runtime,speedup,efficiency
1,18.4969653,1,1
2,15.2055126,1.216464435404828,0.608232217702414
4,9.8546022,1.876987515538679,0.4692468788846697
8,6.6729342,2.77193881216452,0.346492351520565
