count                       : 200
runtime                     : 0.0584243
zero_force_time             : 0.0001187999999999998
gravity_time                : 0.0001391
particle_contact_time       : 0.04583800000000002
wall_contact_time           : 0.0004010000000000022
integration_time            : 0.0003261000000000018
diagnostics_time            : 0.01111060000000001
contact_time                : 0.04623900000000003
candidate_pairs             : 19900
