id,x,y,z,vx,vy,vz,radius,mass
0,0.7788726449405271,0.9324960424447943,0.9778149770173007,3.50408805337472,-2.568282115143344,2.165194391787252,0.015,0.03392920065876977
1,0.7829748781102871,0.296747392206766,0.4890006703678105,0.02614642963239992,0.01319242940057247,-0.04107348264726574,0.015,0.03392920065876977
2,0.5390001343383796,0.8571427765258115,0.8949821064909715,0.03180440926097956,-0.03141694028019221,-0.0773982796133935,0.015,0.03392920065876977
3,0.3082209186456014,0.09196864424995255,0.4597484765913974,-0.03656082234528369,-0.04251756839845548,-0.01516463863157441,0.015,0.03392920065876977
4,0.8461674782418496,0.8705869012483133,0.8195906303659183,0.7124072196411595,2.136698115422374,-0.3027271116373672,0.015,0.03392920065876977
5,0.6624656580475357,0.7516573491110415,0.7206073186606583,-0.04724327846274233,0.02325378892145587,-0.04933220892952692,0.015,0.03392920065876977
6,0.37295119893232,0.2997841152199533,0.9398618252944081,-0.04206100668639681,-0.03340158981876613,-0.049838725200711,0.015,0.03392920065876977
7,0.4665161037935699,0.8936278403413777,0.4989540874202565,-0.472621694632386,-0.4213404423252332,0.3729554507035603,0.015,0.03392920065876977
8,0.7867496527746078,0.424232849378983,0.6509815325137979,0.04557276212088561,-0.04081615053577355,-0.06890956954955899,0.015,0.03392920065876977
9,0.2614742014778305,0.6352213361906126,0.822353648641039,0.0390638409523103,-0.043767418331184,-0.07004505546679089,0.015,0.03392920065876977
10,0.23014047894177,0.8209793818860399,0.8318411408084955,0.02946829102227519,0.02212724885897241,-0.04280848509604972,0.015,0.03392920065876977
11,0.2595148472145176,0.5861928573543255,0.7084144258417963,0.02604497886126093,-0.006199538788431339,-0.1043855329523035,0.015,0.03392920065876977
12,0.2933609247602126,0.8990644219473438,0.6565961965459662,0.0153420034960369,0.02086800239298246,-0.03758690946873652,0.015,0.03392920065876977
13,0.0876418504028937,0.1184682121100183,0.8540098051082958,0.01624031948986662,-0.04147953822416763,-0.0901246046533359,0.015,0.03392920065876977
14,0.8971950225865784,0.8792468316643198,0.5725145665744171,0.005070703658777688,0.04904713353264732,-0.01575344494385898,0.015,0.03392920065876977
15,0.8954567452270065,0.5068773916787448,0.9141014744264571,-2.592561106585278,1.752920161966319,1.265857805091731,0.015,0.03392920065876977
16,0.4233302588076721,0.6061249141820101,0.455898946144472,-0.01123866342933387,-0.04614366186009423,-0.07461565067344057,0.015,0.03392920065876977
17,0.2236143498550205,0.1202212930341372,0.6137909770088431,1.163466790428093,-0.2343293246730275,-1.96074788419813,0.015,0.03392920065876977
18,0.4217198478902036,0.3870063432036255,0.5680164047769718,0.03990307386707581,0.006370919650078112,-0.0613656414607613,0.015,0.03392920065876977
19,0.05989838394599709,0.7600614807380693,0.5649561520109587,-0.0213341219780296,-0.04518706875539992,-0.02601341553334287,0.015,0.03392920065876977
20,0.06104588650278394,0.4697386130587731,0.7375538365147492,0.2818731355313931,-0.01148717714603809,-0.04773665769894232,0.015,0.03392920065876977
21,0.8064087751483017,0.2253137956910465,0.7965436652527917,-0.0372186699419718,-0.01944681428870173,-0.06381036322427738,0.015,0.03392920065876977
22,0.3824937767501244,0.9059449925522111,0.9585472059242042,0.04231738777579795,0.04548098555945888,-0.08447774504615443,0.015,0.03392920065876977
23,0.7514109941015517,0.2340187742059159,0.7430126968465022,0.03287287678793592,-0.01658378489706843,-0.08745279829628452,0.015,0.03392920065876977
24,0.9132398217146735,0.1851858919526419,0.5801236597676248,-0.496238106351683,0.6330364168661313,1.69981509456578,0.015,0.03392920065876977
25,0.5846024617315775,0.2528099566477008,0.9787060516348086,-0.009193153094528284,-0.007713549474239148,-0.0375069560638241,0.015,0.03392920065876977
26,0.4129124138460574,0.7097160558103948,0.7930744639037003,0.006989169332965464,0.00354945115229531,-0.08704649152470559,0.015,0.03392920065876977
27,0.1041162274757748,0.216724592539452,0.6022153404173259,0.6293121136783774,-0.8861280748384658,-1.029016981602792,0.015,0.03392920065876977
28,0.6241366376411419,0.9823010610555486,0.9817788452117748,-0.0055227886725914,0.04756694857442904,-0.04764146309501423,0.015,0.03392920065876977
29,0.4142480335513258,0.3918056972483754,0.8884498833417488,-0.04557844920336703,0.03124680383991676,-0.06420041532895471,0.015,0.03392920065876977
30,0.1902705815057595,0.05977127067219341,0.9227272574774217,-2.156857723720718,1.807505168882224,-1.714623241992286,0.015,0.03392920065876977
31,0.1181744264923377,0.5873896487944387,0.4916189431721566,-0.1467947061274167,0.3451589697799597,0.0951250656267381,0.015,0.03392920065876977
32,0.6317341446614921,0.06334890068624746,0.9012882412961342,0.007021981302721511,-0.01383929780996045,-0.1080964985356194,0.015,0.03392920065876977
33,0.6728823124027458,0.9477695843935782,0.9377791677929981,-0.01737172836846794,0.03773227133855052,-0.05141851367051469,0.015,0.03392920065876977
34,0.4307192165712893,0.8374116008739911,0.5020992284537713,0.02281314828877688,-0.02254658295312219,-0.03726517547753697,0.015,0.03392920065876977
35,0.1173075158277377,0.5052285981336905,0.6292099498746269,-0.9299803513377738,1.529592344534588,0.2281563988236237,0.015,0.03392920065876977
36,0.6042415590212105,0.9274534076519537,0.8114450478409985,-0.006818361853245733,0.008273409102210992,-0.01362538327331089,0.015,0.03392920065876977
37,0.1304049561937474,0.3226622735831119,0.7404111918570531,0.3898673831548211,0.7919706346023133,-0.4982314924013778,0.015,0.03392920065876977
38,0.3716298241674373,0.5727585889524358,0.8123194161484797,0.006233167882684756,0.01753160651278725,-0.08636134902037668,0.015,0.03392920065876977
39,0.6491502499957517,0.9140676318218391,0.7205764604340111,-0.03095096146020044,-0.03697539166289172,-0.03440056293616958,0.015,0.03392920065876977
40,0.5019420399011311,0.6764019523366522,0.9211065101602264,-0.5542750568796064,-0.2639742684959301,-0.2939018277903501,0.015,0.03392920065876977
41,0.5625838635713695,0.6874219865035728,0.8637674467379846,0.01418971379680743,-0.001851240049854271,-0.07466386908737323,0.015,0.03392920065876977
42,0.5732768249208433,0.5178280735553145,0.586702756341699,-0.04915560043123515,-0.0440337747467895,-0.02076207691834917,0.015,0.03392920065876977
43,0.5408828073685769,0.3831133071745093,0.9833913798440466,-0.0003632091218644801,0.01920586459251127,-0.05026461315700297,0.015,0.03392920065876977
44,0.4555503395316369,0.06170832344339659,0.4880660188137759,-0.01346764537679965,0.0292011710445365,-0.09667674989824185,0.015,0.03392920065876977
